District,Month,Visitors_2016,Visitors_2017,Visitors_2018,Visitors_2019,Visitors_2020
Adilabad,January,2,5,0,0,0
Adilabad,February,0,0,0,2,0
Adilabad,March,2,0,0,0,0
Adilabad,April,0,0,0,0,0
Adilabad,May,0,0,0,0,0
Adilabad,June,0,3,0,0,0
Adilabad,July,4,0,2,0,0
Adilabad,August,2,0,3,2,0
Adilabad,September,0,3,0,0,0
Adilabad,October,0,0,0,0,0
Adilabad,November,0,0,0,2,0
Adilabad,December,0,0,0,0,0
Bhadradri Kothagudem ,January, ,0,0,0,0
Bhadradri Kothagudem ,February, ,0,0,0,0
Bhadradri Kothagudem ,March, ,0,0,0,0
Bhadradri Kothagudem ,April, ,0,0,0,0
Bhadradri Kothagudem ,May, ,0,0,0,0
Bhadradri Kothagudem ,June, ,0,0,0,0
Bhadradri Kothagudem ,July, ,0,0,0,0
Bhadradri Kothagudem ,August, ,0,0,0,0
Bhadradri Kothagudem ,September, ,0,0,0,0
Bhadradri Kothagudem ,October,0,0,0,0,0
Bhadradri Kothagudem ,November,0,0,0,0,0
Bhadradri Kothagudem ,December,0,0,0,0,0
Hyderabad,January,15865,19286,35379,35920,25174
Hyderabad,February,29646,18097,30414,25621,16521
Hyderabad,March,13019,13875,27535,21929,3724
Hyderabad,April,8402,12996,20830,18267,
Hyderabad,May,8522,12983,21554,17317,
Hyderabad,June,10284,12486,24677,20077,
Hyderabad,July,17142,18144,17456,27874,
Hyderabad,August,12842,16985,31217,22725,
Hyderabad,September,9397,27856,22809,34018,6
Hyderabad,October,12808,26368,30072,28706,76
Hyderabad,November,8084,29170,23487,32762,128
Hyderabad,December,17620,38933,29358,34084,230
Jagtial ,January, ,0,0,0,0
Jagtial ,February, ,0,0,0,0
Jagtial ,March, ,0,0,0,0
Jagtial ,April, ,0,0,0,0
Jagtial ,May, ,0,0,0,0
Jagtial ,June, ,0,0,0,0
Jagtial ,July, ,0,0,0,0
Jagtial ,August, ,0,0,0,0
Jagtial ,September, ,0,0,0,0
Jagtial ,October,0,0,0,0,0
Jagtial ,November,0,0,0,0,0
Jagtial ,December,0,0,0,0,0
Jangaon ,January, ,0,0,0,0
Jangaon ,February, ,0,0,0,0
Jangaon ,March, ,0,0,0,0
Jangaon ,April, ,0,0,0,0
Jangaon ,May, ,0,0,0,0
Jangaon ,June, ,0,0,0,0
Jangaon ,July, ,0,0,0,0
Jangaon ,August, ,0,0,0,0
Jangaon ,September, ,0,0,0,0
Jangaon ,October,0,0,0,0,0
Jangaon ,November,2,0,0,0,0
Jangaon ,December,0,0,0,0,0
Jayashankar Bhoopalpally,January, ,85,50,45,0
Jayashankar Bhoopalpally,February, ,38,60,0,0
Jayashankar Bhoopalpally,March, ,35,70,0,0
Jayashankar Bhoopalpally,April, ,36,45,0,0
Jayashankar Bhoopalpally,May, ,40,40,0,0
Jayashankar Bhoopalpally,June, ,35,35,0,0
Jayashankar Bhoopalpally,July, ,42,40,0,0
Jayashankar Bhoopalpally,August, ,45,35,0,0
Jayashankar Bhoopalpally,September, ,56,40,0,0
Jayashankar Bhoopalpally,October,24,55,40,0,0
Jayashankar Bhoopalpally,November,22,58,40,0,0
Jayashankar Bhoopalpally,December,40,57,44,0,0
Jogulamba Gadwal ,January, ,20,36,36,36
Jogulamba Gadwal ,February, ,16,6,6,6
Jogulamba Gadwal ,March, ,32,22,22,0
Jogulamba Gadwal ,April, ,29,15,16,0
Jogulamba Gadwal ,May, ,31,19,20,0
Jogulamba Gadwal ,June, ,32,19,22,0
Jogulamba Gadwal ,July, ,34,37,37,0
Jogulamba Gadwal ,August, ,25,42,42,0
Jogulamba Gadwal ,September, ,42,35,25,0
Jogulamba Gadwal ,October,13,13,13,13,0
Jogulamba Gadwal ,November,21,21,45,45,0
Jogulamba Gadwal ,December,11,10,11,11,0
Kamareddy ,January, ,0,0,0,0
Kamareddy ,February, ,0,0,0,0
Kamareddy ,March, ,0,0,0,0
Kamareddy ,April, ,0,0,0,0
Kamareddy ,May, ,0,0,0,0
Kamareddy ,June, ,0,0,0, 
Kamareddy ,July, ,0,0,0,0
Kamareddy ,August, ,0, ,0,0
Kamareddy ,September, ,0, ,0,0
Kamareddy ,October,0,0,0,0,0
Kamareddy ,November,0,0,0,0,0
Kamareddy ,December,0,0,0,0,0
Karimnagar ,January,0,0,0,0,0
Karimnagar ,February,0,0,0,0,0
Karimnagar ,March,0,0,0,0,0
Karimnagar ,April,0,0,0,0,0
Karimnagar ,May,0,0,0,0,0
Karimnagar ,June,0,0,0,0,0
Karimnagar ,July,0,0,0,0,0
Karimnagar ,August,0,0,0,0,0
Karimnagar ,September,0,0,0,0,0
Karimnagar ,October,0,0,0,0,0
Karimnagar ,November,0,0,0,0,0
Karimnagar ,December,0,0,0,0,0
Khammam,January,0,0,0,0,0
Khammam,February,0,0,0,0,0
Khammam,March,0,0,0,0,0
Khammam,April,0,0,0,0,0
Khammam,May,0,0,0,0,0
Khammam,June,0,0,0,0,0
Khammam,July,0,0,0,0,0
Khammam,August,0,0,0,0,0
Khammam,September,0,0,0,0,0
Khammam,October,0,0,0,0,0
Khammam,November,0,0,0,0,0
Khammam,December,0,0,0,0,0
Komaram Bheem Asifabad,January, ,0,0,0,0
Komaram Bheem Asifabad,February, ,0,0,0,0
Komaram Bheem Asifabad,March, ,0,0,0,0
Komaram Bheem Asifabad,April, ,0,0,0,0
Komaram Bheem Asifabad,May, ,0,0,0,0
Komaram Bheem Asifabad,June, , ,0,0,0
Komaram Bheem Asifabad,July, ,0,0,0,0
Komaram Bheem Asifabad,August, ,0,0,0,0
Komaram Bheem Asifabad,September, ,0,0,0,0
Komaram Bheem Asifabad,October,0,0,0,0,0
Komaram Bheem Asifabad,November,0,0,0,0,0
Komaram Bheem Asifabad,December,0,0,0,0,0
