Hotel,City,District,Contact,Roomtype,TotalRooms,SundayTariff,MondayTariff,TuesdayTariff,WednesdayTariff,ThursdayTariff,FridayTariff,SaturdayTariff
ALAMPUR,ALAMPUR,Jogulamba Gadwal,9705392100,A/C ROOM,15,1500,1500,1500,1500,1500,1500,1500
ALAMPUR,ALAMPUR,Jogulamba Gadwal,9705392100,A/C SUITE,1,3000,3000,3000,3000,3000,3000,3000
ALISAGAR,ALISAGAR,Nizamabad,7997253366,A/C ROOM,4,1500,1200,1200,1200,1200,1500,1500
ALISAGAR,ALISAGAR,Nizamabad,7997253366,NON A/C ROOM,3,999,750,750,750,750,999,999
ANANTHAGIRI VIKARABAD,ANANTHAGIRI VIKARABAD,Vikarabad,9010911122,A/C SUITE,1,3700,3100,3100,3100,3100,3700,3700
ANANTHAGIRI VIKARABAD,ANANTHAGIRI VIKARABAD,Vikarabad,9010911122,A/C STANDARD,30,2300,1500,1500,1500,1500,2300,2300
"BASARA,HARITHA HOTEL",BASARA,Nirmal,9848074462,NON A/C ROOM,2,750,750,750,750,750,750,750
"BASARA,HARITHA HOTEL",BASARA,Nirmal,9848074462,NON A/C 4 BEDDED ROOM,2,950,950,950,950,950,950,950
"BASARA,HARITHA HOTEL",BASARA,Nirmal,9848074462,NON A/C 3 BEDDED ROOM,1,850,850,850,850,850,850,850
"BASARA,HARITHA HOTEL",BASARA,Nirmal,9848074462,A/C ROOM,12,1300,1300,1300,1300,1300,1300,1300
"BASARA,HARITHA HOTEL",BASARA,Nirmal,9848074462,A/C 4 BEDDED ROOM,1,1450,1450,1450,1450,1450,1450,1450
"BHADRACHALAM,HARITHA HOTEL",BHADRACHALAM,Bhadradri Kothagudem,9848823073,A/C SUITE,1,2900,2380,2380,2380,2380,2900,2900
"BHADRACHALAM,HARITHA HOTEL",BHADRACHALAM,Bhadradri Kothagudem,9848823073,A/C DELUXE,37,1750,1500,1500,1500,1500,1750,1750
"BHADRACHALAM,HARITHA HOTEL",BHADRACHALAM,Bhadradri Kothagudem,9848823073,NON A/C DORMITORY(BASEMENT),1,1600,1600,1600,1600,1600,1600,1600
"BHADRACHALAM,HARITHA HOTEL",BHADRACHALAM,Bhadradri Kothagudem,9848823073,NON AC DORMITORY 5 BEDDED(BASEMENT),1,1000,1000,1000,1000,1000,1000,1000
DHARMAPURI HARITHA HOTEL,DHARMAPURI,Jagtial,8499830816,A/C ROOM,9,999,999,999,999,999,999,999
EEGALAPENTA HARITHA HOTEL,EEGALAPENTA(Near Srisailam Dam West),Near Srisailam Dam West,9912233234,NON A/C ROOM,15,999,999,999,999,999,999,999
EEGALAPENTA HARITHA HOTEL,EEGALAPENTA(Near Srisailam Dam West),Near Srisailam Dam West,9912233234,A/C ROOM,2,2000,1800,1800,1800,1800,2000,2000
GADWAL,GADWAL,Jogulamba Gadwal,9705391200,NON A/C ROOM,4,700,700,700,700,700,700,700
GADWAL,GADWAL,Jogulamba Gadwal,9705391200,A/C ROOM,3,1100,1100,1100,1100,1100,1100,1100
HARITHA HOTEL KADEM,KADEM,Nirmal,9133053007,A/C ROOM,11,1650,1500,1500,1500,1500,1650,1650
INDUR INN,NIZAMABAD,Nizamabad,9603667724,A/C SUITE,3,1850,1850,1850,1850,1850,1850,1850
INDUR INN,NIZAMABAD,Nizamabad,9603667724,A/C ROOM,16,1350,1350,1350,1350,1350,1350,1350
"JANNARAM,HARITHA HOTEL",JANNARAM,Mancherial,9133051007,NON A/C ROOM,4,1050,950,950,950,950,1050,1050
"JANNARAM,HARITHA HOTEL",JANNARAM,Mancherial,9133051007,A/C ROOM,8,1600,1450,1450,1450,1450,1600,1600
"JANNARAM,HARITHA HOTEL",JANNARAM,Mancherial,9133051007,NON A/C DORMITORY 6 BEDDED,1,1800,1600,1600,1600,1600,1800,1800
"JANNARAM,HARITHA HOTEL",JANNARAM,Mancherial,9133051007,NON A/C COTTAGES,2,1050,950,950,950,950,1050,1050
KAKATIYA,WARANGAL,Warangal (Urban),9951022203,A/C SUITE,5,2750,2750,2750,2750,2750,2750,2750
KAKATIYA,WARANGAL,Warangal (Urban),9951022203,A/C DELUXE,48,1850,1850,1850,1850,1850,1850,1850
"KEESARAGUTTA,HARITHA HOTEL",KEESARAGUTTA,Medchal,9010077395,NON A/C DORMITORY,1,1050,1050,1050,1050,1050,1050,1050
"KEESARAGUTTA,HARITHA HOTEL",KEESARAGUTTA,Medchal,9010077395,NON A/C ROOM,9,1150,1150,1150,1150,1150,1150,1150
"KEESARAGUTTA,HARITHA HOTEL",KEESARAGUTTA,Medchal,9010077395,A/C ROOM,6,1600,1600,1600,1600,1600,1600,1600
KONDAGATTU HARITHA HOTEL,KONDAGATTU,Jagtial,9493370431,A/C ROOM,4,999,999,999,999,999,999,999
